status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
,,西南,2018-05-31 16:30:06,,,,http://oil.chem99.com/news/27964737.html,2018-04-19
停工,30,山东,2018-05-31 16:30:08,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,170,山东,2018-05-31 16:30:08,4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,110,山东,2018-05-31 16:30:08,17日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,160,山东,2018-05-31 16:30:08,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,100,山东,2018-05-31 16:30:08,4月计划量3-4万吨,地炼,科力达,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,60,山东,2018-05-31 16:30:08,开工时间待定，4月计划量3万,地炼,岚桥石化,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,30,华南,2018-05-31 16:30:08,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,40,西南,2018-05-31 16:30:08,装置开工，本周正常出货,中海油,中海四川,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,80,华东,2018-05-31 16:30:08,4月10日开工产沥青,地炼,金海宏业,http://oil.chem99.com/news/27964803.html,2018-04-19
检修,70,华东,2018-05-31 16:30:08,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27964803.html,2018-04-19
开工,75,华东,2018-05-31 16:30:08,4月3日开工产沥青,地炼,阿尔法,http://oil.chem99.com/news/27964803.html,2018-04-19
产渣油,100,华北,2018-05-31 16:30:08,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,50,华北,2018-05-31 16:30:08,3月26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27964803.html,2018-04-19
扩产能,70,华北,2018-05-31 16:30:08,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,50,西北,2018-05-31 16:30:08,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,30,山东,2018-05-31 16:30:10,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28032672.html,2018-04-26
产渣油,170,山东,2018-05-31 16:30:10,y预计5月4日转产沥青,地炼,东明石化,http://oil.chem99.com/news/28032672.html,2018-04-26
