status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
扩产能,70,华北,2018-05-31 15:21:13,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,50,西北,2018-05-31 15:21:13,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,30,山东,2018-05-31 15:21:19,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27770232.html,2018-03-29
产渣油,170,山东,2018-05-31 15:21:19,推迟至4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,110,山东,2018-05-31 15:21:19,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,160,山东,2018-05-31 15:21:19,转产沥青，预计下周出产品,地炼,中化弘润,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,100,山东,2018-05-31 15:21:19,日产1000吨左右,地炼,科力达,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,60,山东,2018-05-31 15:21:19,代加工，预计4月1日开工，计划量3万,地炼,岚桥石化,http://oil.chem99.com/news/27770232.html,2018-03-29
停工,30,华南,2018-05-31 15:21:19,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,40,西南,2018-05-31 15:21:19,近期有开工计划,中海油,中海四川,http://oil.chem99.com/news/27770232.html,2018-03-29
停产,80,华东,2018-05-31 15:21:19,1月8日至4月中旬,地炼,金海宏业,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,70,华东,2018-05-31 15:21:19,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,75,华东,2018-05-31 15:21:19,2月1日-4月中旬,地炼,阿尔法,http://oil.chem99.com/news/27770232.html,2018-03-29
产渣油,100,华北,2018-05-31 15:21:19,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,50,华北,2018-05-31 15:21:19,26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27770232.html,2018-03-29
扩产能,70,华北,2018-05-31 15:21:19,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27770232.html,2018-03-29
停工,50,西北,2018-05-31 15:21:19,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27770232.html,2018-03-29
停工,30,山东,2018-05-31 15:21:24,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,170,山东,2018-05-31 15:21:24,4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,110,山东,2018-05-31 15:21:24,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,160,山东,2018-05-31 15:21:24,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,100,山东,2018-05-31 15:21:24,4月计划量3-4万吨,地炼,科力达,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,60,山东,2018-05-31 15:21:24,开工时间待定，4月计划量3万,地炼,岚桥石化,http://oil.chem99.com/news/27827453.html,2018-04-04
停工,30,华南,2018-05-31 15:21:24,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27827453.html,2018-04-04
检修,40,西南,2018-05-31 15:21:24,清明节后有开工计划,中海油,中海四川,http://oil.chem99.com/news/27827453.html,2018-04-04
停产,80,华东,2018-05-31 15:21:24,1月8日至4月中旬,地炼,金海宏业,http://oil.chem99.com/news/27827453.html,2018-04-04
检修,70,华东,2018-05-31 15:21:24,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27827453.html,2018-04-04
开工,75,华东,2018-05-31 15:21:24,4月3日开工产沥青,地炼,阿尔法,http://oil.chem99.com/news/27827453.html,2018-04-04
产渣油,100,华北,2018-05-31 15:21:24,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,50,华北,2018-05-31 15:21:24,26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27827453.html,2018-04-04
扩产能,70,华北,2018-05-31 15:21:24,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27827453.html,2018-04-04
停工,50,西北,2018-05-31 15:21:24,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27827453.html,2018-04-04
